АПАТ,apat
ЕМЕН,emen
АЙТ,ait
АҚАУ,akau
АНТЕННА,antenna
БАҒЫТ,bagyt
БАЛГЕР,balger
АДАМ,adam
БОЯУ,boyau
АЙҚАЙ,aigai
ДIН,din
БIЛIМ,bilim
БУЫН,buin
БОЙДАҚ,boidak
АЛЫС,alys
АРА,ara
АЛЫП,alyp
АЛАҚАН,alakan
БIЛЕК,bilek
БЕЛГI,belgi
БАЗАР,bazar
ДӘРУМЕН,vitamin
БАЛЕТ,balet
ДӘРI,dari
АЛАСА,alasa
ДЫБЫС,dybys
ВУЛКАН,vulkan
АРУ,aru
БӨРI,bori
БАЙРАҚ,bairak
АРБА,arba
БЕЙIТ,beit
ГОЛЬФ,golf
БҰЗАУ,buzau
ӘН,an
АРНА,arna
ЕТIКШI,etikshi
ДЕҢГЕЙ,dengei
АЛМА,alma
ГИМНАСТ,gimnast
БАТА,bata
АЙЫРБАС,aiyrbas
БОКС,boks
БЛАНК,blank
ҒАРЫШ,garysh
АЙЛЫҚ,ailyk
АСПАН,aspan
АСХАНА,ashana
АРАҚ,arak
БIЗ,biz
ӘКЕ,ake
БАЛАЛАР,balalar
БӨГЕТ,boget
АЛАМАН,alaman
АТАҚТЫ,atakty
БИРЖА,birzha
ӘЖIМ,azhim
АЙНАЛЫМ,ainalym
ЕРIН,erin
АҚҚУ,akku
ГАЗЕТ,gazet
ӘДIЛЕТ,adilet
АЖАЛ,azhal
БАҚЫР,bakyr
БАЙ,bai
БАЙЛЫҚ,bailyk
АҚҚАЛА,akkala
АЛАҢ,alan
ДОҒА,doga
ГИПС,gips
БЕТОН,beton
БҰРШАҚ,burshak
ДАРИЯ,daria
ЕГIН,egin
ӘТIР,atir
БОС,bos
БИШI,bishi
БАЛУАН,baluan
АНА,ana
БИТ,bit
ЖАБЫҚ,zhabyk
ДОМАЛАҚ,domalak
АҚТИIН,aktiyn
АҒАШ,agash
БЕТАШАР,betashar
АШУ,ashu
БӨРIК,borik
АСПАЗ,aspaz
АУЫР,auir
ГЕПАРД,gepard
БЕСIК,besik
АЙРАН,airan
АЗЫҚ,azyk
ЕМТИХАН,emtihan
АЮ,ayu
АСАБА,asaba
БАРЫС,barys
АҒА,aga
БАЙЛАУ,bailau
ВАГОН,vagon
АЛМАЗ,almaz
ЕМХАНА,emhana
БАҒА,baga
АЙЫП,aiyp
АЙНА,aina
ДИСК,disk
БАНК,bank
БЕЛ,bel
АШЫҚ,ashyk
БАТЫР,batyr
